movieId,values,metadata
92535,"[0.08990271389484406, 0.03958277776837349, 0.09678392112255096, 0.0922221913933754, 0.02782244235277176, -0.05599954351782799, 0.008757265284657478, 0.006520486902445555, -0.0894264206290245, 0.050958216190338135, 0.015163570642471313, 0.038582101464271545, 0.010172523558139801, 0.009406485594809055, 0.06450588256120682, 0.014223651960492134, -0.08439640700817108, -0.02493917942047119, 0.02251807413995266, -0.011698703281581402, 0.00823366641998291, 0.0205584317445755, 0.019835373386740685, 0.0059176054783165455, 0.020488427951931953, 0.0202922523021698, 0.03132367506623268, -0.00992654450237751, -0.023880697786808014, 0.01981489174067974, -0.03847607970237732, 0.025238947942852974]","{'movie_id': 92535, 'title': 'Louis C.K.: Live at the Beacon Theater (2011)', 'imdb_id': 2112999, 'genres': 'Comedy'}"
92643,"[0.0541524812579155, -0.020125508308410645, 0.035608235746622086, -0.09390418231487274, -0.03601396828889847, 0.03911546990275383, -0.08867635577917099, -0.011598342098295689, -0.019064826890826225, 0.05837565287947655, 0.05284464731812477, 0.02924100123345852, -0.08227035403251648, 0.009633482433855534, -0.04877617955207825, -0.06668714433908463, 0.008063992485404015, -0.006742760539054871, 0.07925621420145035, 0.01724071428179741, 0.0001907865225803107, 0.02465718425810337, -0.03576364368200302, 0.013305461965501308, -0.08189009875059128, 0.003814167808741331, 0.0035904308315366507, -0.0678967759013176, 0.06174018606543541, -0.035901911556720734, -0.006473022047430277, -0.02804299257695675]","{'movie_id': 92643, 'title': 'Monsieur Lazhar (2011)', 'imdb_id': 2011971, 'genres': 'Children|Comedy|Drama'}"
93006,"[-0.06632758677005768, 0.031163092702627182, -0.02163468301296234, 0.0008449107990600169, -0.07943736016750336, 0.007847708649933338, -0.019240887835621834, -0.043311841785907745, 0.06500820815563202, 0.0011913077905774117, -0.018142161890864372, 0.00539875915274024, -0.09516408294439316, 0.01764250546693802, 0.06465869396924973, -0.020654376596212387, 0.00010741321602836251, -0.00900531467050314, 0.03423132002353668, -0.051254380494356155, -0.06190503388643265, -0.06484543532133102, 0.01790313981473446, -0.01912403292953968, -0.04647386819124222, -0.00988873839378357, -0.016259705647826195, 0.0069203684106469154, -0.024676643311977386, -0.05954360589385033, -0.05930105596780777, 0.09280704706907272]","{'movie_id': 93006, 'title': 'Very Potter Musical, A (2009)', 'imdb_id': 2033193, 'genres': 'Comedy|Musical'}"
93008,"[0.014910228550434113, -0.01726291887462139, 0.04473777860403061, 0.01854730397462845, -0.08895127475261688, -0.015291130170226097, 0.05534613877534866, -0.04340115189552307, 0.037070535123348236, -0.06242572143673897, 0.015702415257692337, -0.014457449316978455, -0.028734415769577026, 0.047040265053510666, -0.06917829066514969, -0.001293312874622643, -0.04553637281060219, 0.09285741299390793, -0.09806928783655167, 0.052128490060567856, 0.045745909214019775, -0.06805241852998734, 0.08426516503095627, -0.02846997231245041, 0.029723791405558586, 0.04132162034511566, -0.015745172277092934, 0.0365292951464653, -0.08201320469379425, 0.03899627551436424, 0.0060982778668403625, 0.015359033830463886]","{'movie_id': 93008, 'title': 'Very Potter Sequel, A (2010)', 'imdb_id': 2040264, 'genres': 'Comedy|Musical'}"
94867,"[-0.03189317509531975, 0.06186674162745476, -0.08130406588315964, 0.02450300008058548, 0.023759638890624046, 0.007282005622982979, 0.007872756570577621, -0.06776174902915955, 0.015339784324169159, -0.007083059288561344, -0.016795344650745392, 0.02637908048927784, 0.08039648085832596, -0.07238736748695374, -0.03856651857495308, 0.03288261964917183, 0.004460611846297979, 0.08356043696403503, 0.0777251124382019, -0.04098469391465187, 0.05486191436648369, -0.003193733748048544, 0.025894956663250923, -0.02201063558459282, -0.020122570917010307, 0.002921344479545951, 0.04423075541853905, -0.018520215526223183, 0.026959087699651718, 0.07093646377325058, -0.09005933254957199, -0.0227381382137537]","{'movie_id': 94867, 'title': 'Pact, The (2012)', 'imdb_id': 2040560, 'genres': 'Horror|Mystery|Thriller'}"
95218,"[-0.03694811463356018, -0.025270387530326843, -0.06551197916269302, -0.0404406376183033, 0.0383208766579628, 0.009248818270862103, 0.06910404562950134, -0.018851278349757195, 0.04366830736398697, -0.02920076996088028, -0.06798044592142105, -0.06021512299776077, -0.042584653943777084, 0.06007438525557518, -0.03814006224274635, -0.030707167461514473, -0.01521435659378767, -0.05844677612185478, -0.017036197707057, -0.054698869585990906, -0.07056289911270142, 0.06043945252895355, -0.08317916840314865, 0.032432880252599716, 0.08358043432235718, 0.04252922907471657, 0.06275433301925659, 0.019733143970370293, -0.07597561180591583, -0.1021762266755104, -0.01486519630998373, -0.07175702601671219]","{'movie_id': 95218, 'title': 'First Position (2011)', 'imdb_id': 2008513, 'genres': 'Documentary'}"
95558,"[-0.016239849850535393, -0.08107344806194305, 0.04298163577914238, 0.009783580899238586, -0.023745328187942505, -0.038647186011075974, 0.021092629060149193, 0.041330840438604355, -0.05105146765708923, 0.003729748073965311, 0.00469420850276947, -0.053833186626434326, -0.06800027936697006, 0.047887176275253296, -0.050183653831481934, 0.005399106070399284, 0.047947049140930176, -0.027772780507802963, 0.017871709540486336, -0.015563920140266418, 0.108059361577034, 0.09229960292577744, 0.0468076728284359, 0.011422673240303993, -0.009866086766123772, 0.06265724450349808, 0.057586174458265305, -0.060208842158317566, -0.09035274386405945, -0.06265337020158768, -0.0008211943204514682, 0.05421824753284454]","{'movie_id': 95558, 'title': 'Beasts of the Southern Wild (2012)', 'imdb_id': 2125435, 'genres': 'Drama|Fantasy'}"
96150,"[0.02475486882030964, -0.019780583679676056, 0.04336663335561752, 0.036981694400310516, -0.024310801178216934, 0.02316828817129135, 0.028906751424074173, 0.010151308961212635, 0.02562331221997738, -0.021003955975174904, 0.106862872838974, 0.0066231293603777885, -0.049848757684230804, -0.07792209833860397, -0.0251595638692379, 0.069902203977108, -0.07808313518762589, -0.054239727556705475, -0.019992565736174583, 0.03478354588150978, -0.027163231745362282, 0.01630336605012417, 0.03752422332763672, 0.008041303604841232, -0.008101703599095345, -0.08966417610645294, 0.026744557544589043, -0.07588453590869904, -0.0614292211830616, 0.052583519369363785, 0.05378727987408638, 0.04061894118785858]","{'movie_id': 96150, 'title': 'Queen of Versailles, The (2012)', 'imdb_id': 2125666, 'genres': 'Documentary'}"
96283,"[0.013992426916956902, -0.02868516370654106, -0.059710290282964706, -0.04844820871949196, -0.05553588643670082, -0.03433205559849739, 0.02454463206231594, -0.014164209365844727, 0.0410892553627491, 0.04417645186185837, -0.011897394433617592, -0.07980333268642426, 0.05265210568904877, 0.039895087480545044, -0.018957579508423805, 0.003684835508465767, 0.08453204482793808, 0.0166885107755661, -0.04233445227146149, -0.08507885783910751, 0.061876021325588226, 0.029842086136341095, -0.005975521169602871, 0.011127534322440624, -0.0010319092543795705, -0.0133297024294734, 0.050155527889728546, 0.001568935695104301, 0.08939693868160248, 0.061197176575660706, 0.09349233657121658, -0.04899505898356438]","{'movie_id': 96283, 'title': 'Diary of a Wimpy Kid: Dog Days (2012)', 'imdb_id': 2023453, 'genres': 'Children|Comedy'}"
96411,"[-0.037832967936992645, 0.0034901699982583523, -0.01611434854567051, -0.017278339713811874, 0.014251735992729664, 0.005299198441207409, -0.06401040405035019, -0.04498608037829399, -0.0005143386661075056, -0.02176152914762497, 0.04783497005701065, 0.0259499941021204, -0.014745775610208511, -0.014076795428991318, -0.022833891212940216, -0.021488089114427567, 0.04557078331708908, -0.008005887269973755, -0.011410662904381752, 0.01362075749784708, 0.043192796409130096, 0.08219806849956512, -0.03369152545928955, 0.05230743810534477, -0.0516618974506855, -0.03051903285086155, 0.04630144685506821, 0.031031666323542595, -0.039144523441791534, -0.009540772996842861, 0.05479113757610321, -0.008136672899127007]","{'movie_id': 96411, 'title': '6 Days to Air: The Making of South Park (2011)', 'imdb_id': 2076781, 'genres': 'Documentary'}"
